AG Algorithm Results Summary
----------------------------
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.05, 'tournament_size': 3, 'crossover_rate': 0.85}, RMSE: 0.8380, R2: 0.4771, Time: 103.75 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.05, 'tournament_size': 12, 'crossover_rate': 0.72}, RMSE: 0.8389, R2: 0.4759, Time: 82.39 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.1, 'tournament_size': 10, 'crossover_rate': 0.6}, RMSE: 0.6993, R2: 0.6358, Time: 84.29 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.15, 'tournament_size': 7, 'crossover_rate': 0.95}, RMSE: 0.7229, R2: 0.6108, Time: 97.63 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.2, 'tournament_size': 5, 'crossover_rate': 0.9}, RMSE: 0.8746, R2: 0.4303, Time: 82.19 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.05, 'tournament_size': 3, 'crossover_rate': 0.85}, RMSE: 0.6979, R2: 0.6373, Time: 83.98 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.05, 'tournament_size': 12, 'crossover_rate': 0.72}, RMSE: 0.8586, R2: 0.4510, Time: 103.52 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.1, 'tournament_size': 10, 'crossover_rate': 0.6}, RMSE: 0.8526, R2: 0.4587, Time: 96.39 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.15, 'tournament_size': 7, 'crossover_rate': 0.95}, RMSE: 0.7158, R2: 0.6184, Time: 96.62 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.2, 'tournament_size': 5, 'crossover_rate': 0.9}, RMSE: 0.8720, R2: 0.4337, Time: 100.54 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.05, 'tournament_size': 3, 'crossover_rate': 0.85}, RMSE: 0.7068, R2: 0.6279, Time: 106.85 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.05, 'tournament_size': 12, 'crossover_rate': 0.72}, RMSE: 0.8299, R2: 0.4871, Time: 111.65 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.1, 'tournament_size': 10, 'crossover_rate': 0.6}, RMSE: 0.8223, R2: 0.4964, Time: 98.30 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.15, 'tournament_size': 7, 'crossover_rate': 0.95}, RMSE: 0.7069, R2: 0.6279, Time: 72.20 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.2, 'tournament_size': 5, 'crossover_rate': 0.9}, RMSE: 0.7012, R2: 0.6339, Time: 67.37 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.05, 'tournament_size': 3, 'crossover_rate': 0.9}, RMSE: 0.7297, R2: 0.6035, Time: 103.67 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.05, 'tournament_size': 12, 'crossover_rate': 0.85}, RMSE: 0.8777, R2: 0.4263, Time: 93.51 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.1, 'tournament_size': 10, 'crossover_rate': 0.72}, RMSE: 0.9201, R2: 0.3696, Time: 81.71 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.15, 'tournament_size': 9, 'crossover_rate': 0.6}, RMSE: 0.9458, R2: 0.3339, Time: 82.01 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.2, 'tournament_size': 5, 'crossover_rate': 0.95}, RMSE: 0.7691, R2: 0.5595, Time: 73.63 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.05, 'tournament_size': 3, 'crossover_rate': 0.9}, RMSE: 0.7047, R2: 0.6302, Time: 82.76 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.05, 'tournament_size': 12, 'crossover_rate': 0.85}, RMSE: 0.8783, R2: 0.4255, Time: 85.81 seconds
